HAPLESS	Card 1	218	Kaplan
HEGEMONY	Card 1	40	Kaplan
HERMETIC	Card 1	356	Kaplan
HETEROGENEOUS	Card 1	284	Kaplan
HOARY	Card 1	357	Kaplan
HOMOGENEOUS	Card 1	278	Kaplan
HUSBAND	Card 1	364	Kaplan
HYPERBOLE	Card 1	115	Kaplan
ICONOCLAST	Card 1	447	Kaplan
IDIOSYNCRASY	Card 1	193	Kaplan
IGNOBLE	Card 1	178	Kaplan
IMBUE	Card 1	495	Kaplan
IMPASSE	Card 1	187	Kaplan
IMPECUNIOUS	Card 1	496	Kaplan
IMPERTURBABLE	Card 1	180	Kaplan
IMPERVIOUS	Card 1	497	Kaplan
IMPETUOUS	Card 1	283	Kaplan
IMPIOUS	Card 1	498	Kaplan
IMPLACABLE	Card 1	281	Kaplan
IMPRECATION	Card 1	465	Kaplan
IMPUGN	Card 1	436	Kaplan
INCARNADINE	Card 1	499	Kaplan
INCHOATE	Card 1	412	Kaplan
INCULCATE	Card 1	397	Kaplan
INDOLENT	Card 1	500	Kaplan
INEXORABLE	Card 1	73	Kaplan
INGENUOUS	Card 1	70	Kaplan
INGRATE	Card 1	309	Kaplan
INGRATIATE	Card 1	490	Kaplan
INIMICAL	Card 1	411	Kaplan
INIQUITY	Card 1	47	Kaplan
INNOCUOUS	Card 1	280	Kaplan
INQUEST	Card 1	394	Kaplan
INSIPID	Card 1	461	Kaplan
INSURRECTION	Card 1	491	Kaplan
INTER	Card 1	494	Kaplan
INTERREGNUM	Card 1	267	Kaplan
INTRACTABLE	Card 1	260	Kaplan
INTRANSIGENT	Card 1	460	Kaplan
INTREPID	Card 1	148	Kaplan
INUNDATE	Card 1	277	Kaplan
INURE	Card 1	464	Kaplan
INVECTIVE	Card 1	245	Kaplan
INVESTITURE	Card 1	463	Kaplan
INVIDIOUS	Card 1	462	Kaplan
IRASCIBLE	Card 1	18	Kaplan
ITINERANT	Card 1	93	Kaplan
JARGON	Card 1	143	Kaplan
JETTISON	Card 1	9	Kaplan
JINGOISM	Card 1	393	Kaplan
JOCULAR	Card 1	202	Kaplan
JUDICIOUS	Card 1	459	Kaplan
JUNCTURE	Card 1	88	Kaplan
